# Pixel,Intensity
1310,40831.0000
1311,42093.0000
1312,40980.0000
1313,42101.0000
1314,40947.0000
1315,42269.0000
1316,40944.0000
1317,41600.0000
1318,40902.0000
1319,41989.0000
1320,40174.0000
1321,41920.0000
1322,41122.0000
1323,41315.0000
1324,40754.0000
1325,42007.0000
1326,40390.0000
1327,41695.0000
1328,40509.0000
1329,41867.0000
1330,40751.0000
1331,41523.0000
1332,40549.0000
1333,41684.0000
1334,40237.0000
1335,41617.0000
1336,40361.0000
1337,41850.0000
1338,40902.0000
1339,41476.0000
1340,40188.0000
1341,41718.0000
1342,40373.0000
1343,41465.0000
1344,40844.0000
1345,41774.0000
1346,40669.0000
1347,41898.0000
1348,40442.0000
1349,41510.0000
1350,40597.0000
1351,41486.0000
1352,40699.0000
1353,41765.0000
1354,40605.0000
1355,41816.0000
1356,40713.0000
1357,41599.0000
1358,40578.0000
1359,41296.0000
1360,40412.0000
1361,41190.0000
1362,40429.0000
1363,41719.0000
1364,40422.0000
1365,41582.0000
1366,40453.0000
1367,41328.0000
1368,40163.0000
1369,41601.0000
1370,40571.0000
1371,41256.0000
1372,40424.0000
1373,41227.0000
1374,40454.0000
1375,41383.0000
1376,40380.0000
1377,41616.0000
1378,40523.0000
1379,41581.0000
1380,40357.0000
1381,41330.0000
1382,40396.0000
1383,41523.0000
1384,40026.0000
1385,41408.0000
1386,40107.0000
1387,41556.0000
1388,39961.0000
1389,41177.0000
1390,40170.0000
1391,41451.0000
1392,40124.0000
1393,41212.0000
1394,40414.0000
1395,41111.0000
1396,39921.0000
1397,41552.0000
1398,40460.0000
1399,41489.0000
1400,40599.0000
1401,40866.0000
1402,40406.0000
1403,41062.0000
1404,40306.0000
1405,41077.0000
1406,39915.0000
1407,41191.0000
1408,40271.0000
1409,41669.0000
1410,40522.0000
1411,41037.0000
1412,40193.0000
1413,41585.0000
1414,40350.0000
1415,40885.0000
1416,40074.0000
1417,41172.0000
1418,40954.0000
1419,41289.0000
1420,40196.0000
1421,40963.0000
1422,40368.0000
1423,41245.0000
1424,40192.0000
1425,41226.0000
1426,39963.0000
1427,41412.0000
1428,40718.0000
1429,41366.0000
1430,39901.0000
1431,41561.0000
1432,40286.0000
1433,41153.0000
1434,40227.0000
1435,41400.0000
1436,39852.0000
1437,41195.0000
1438,39956.0000
1439,41569.0000
1440,40164.0000
1441,41252.0000
1442,39711.0000
1443,41130.0000
1444,40238.0000
1445,41026.0000
